step,train_loss
50,2.378
100,2.3326
150,2.2652
200,2.1515
250,2.0069
300,1.7859
350,1.583
400,1.4111
450,1.0893
500,1.1321
550,1.0201
600,0.8396
650,0.8558
700,0.7972
750,0.8396
800,0.7669
850,0.7866
900,0.8158
950,0.7747
1000,0.6945
1050,0.6948
1100,0.8023
1150,0.8112
1200,0.8549
1250,0.7567
1300,0.8398
1350,0.7775
1400,0.7255
1450,0.7214
1500,0.5677
1550,0.6964
1600,0.6464
1650,0.8515
1700,0.5697
1750,0.5833
1800,0.5833
1850,0.5855
1900,0.5067
1950,0.6403
2000,0.6725
2050,0.6297
2100,0.6244
2150,0.7865
2200,0.67
2250,0.741
2300,0.7015
2350,0.7071
2400,0.6789
2450,0.6153
2500,0.6663
2550,0.7572
2600,0.683
2650,0.6856
2700,0.6021
2750,0.5143
2800,0.7086
2850,0.5219
2900,0.692
2950,0.7769
3000,0.5154
3050,0.5958
3100,0.6484
3150,0.5862
3200,0.733
3250,0.6961
3300,0.605
3350,0.6031
3400,0.5612
3450,0.6435
3500,0.5847
3550,0.5577
3600,0.5519
3650,0.6309
3700,0.5876
3750,0.5727
3800,0.6288
3850,0.5145
3900,0.5798
3950,0.6476
4000,0.6146
4050,0.6813
4100,0.6274
4150,0.6009
4200,0.5447
4250,0.5936
4300,0.5651
4350,0.4889
4400,0.356
4450,0.5592
4500,0.7017
4550,0.5418
4600,0.6608
4650,0.5617
4700,0.481
4750,0.5801
4800,0.4189
4850,0.6881
4900,0.5561
4950,0.5262
5000,0.6669
5050,0.5933
5100,0.5382
5150,0.5221
5200,0.5611
5250,0.4363
5300,0.628
5350,0.4366
5400,0.5198
5450,0.6335
5500,0.4611
5550,0.4732
5600,0.5315
5650,0.6194
5700,0.6092
5750,0.5377
5800,0.5084
5850,0.5194
5900,0.5388
5950,0.5281
6000,0.5604
6050,0.6053
6100,0.4466
6150,0.4533
6200,0.5817
6250,0.4777
6300,0.4638
6350,0.5653
6400,0.5825
6450,0.5157
6500,0.5166
6550,0.504
6600,0.4842
6650,0.452
6700,0.636
6750,0.5461
6800,0.4745
6850,0.3877
6900,0.4642
6950,0.491
7000,0.4577
7050,0.5003
7100,0.5006
7150,0.5153
7200,0.4289
7250,0.5278
7300,0.6058
7350,0.4905
7400,0.4634
7450,0.4749
7500,0.5076
7550,0.4649
7600,0.5208
7650,0.6455
7700,0.5427
7750,0.601
7800,0.5465
7850,0.4052
7900,0.5484
7950,0.3519
8000,0.4244
8050,0.5124
8100,0.4223
8150,0.6131
8200,0.3943
8250,0.5175
8300,0.3788
8350,0.5398
8400,0.5722
8450,0.4061
8500,0.4145
8550,0.42
8600,0.4614
8650,0.5268
8700,0.4611
8750,0.4948
8800,0.4353
8850,0.4344
8900,0.5535
8950,0.6114
9000,0.4308
9050,0.4234
9100,0.4373
9150,0.3829
9200,0.4921
9250,0.4086
9300,0.4362
9350,0.4803
9400,0.5191
9450,0.5336
9500,0.5106
9550,0.4589
9600,0.5407
9650,0.4906
9700,0.5106
9750,0.5493
9800,0.479
9850,0.4966
9900,0.5217
9950,0.4707
10000,0.4902
10050,0.4915
10100,0.4718
10150,0.5244
10200,0.4476
10250,0.5442
10300,0.5906
10350,0.5987
10400,0.5079
10450,0.4264
10500,0.4719
10550,0.4711
10600,0.4693
10650,0.4596
10700,0.5505
10750,0.512
10800,0.5002
10850,0.5154
10900,0.4562
